contact,month,day_of_week,duration
telephone,may,mon,267
telephone,may,mon,345
telephone,may,mon,185
telephone,may,mon,207
telephone,may,mon,69
telephone,may,mon,100
telephone,may,mon,125
telephone,may,mon,461
telephone,may,mon,240
telephone,may,mon,70
telephone,may,mon,193
telephone,may,mon,136
telephone,may,mon,73
telephone,may,mon,528
telephone,may,mon,541
telephone,may,mon,338
telephone,may,mon,163
telephone,may,mon,87
telephone,may,mon,301
telephone,may,mon,46
telephone,may,mon,52
telephone,may,mon,204
telephone,may,mon,155
telephone,may,mon,98
telephone,may,mon,71
telephone,may,mon,243
telephone,may,mon,186
telephone,may,mon,579
telephone,may,mon,165
telephone,may,mon,163
telephone,may,mon,46
telephone,may,mon,559
telephone,may,mon,2033
telephone,may,mon,85
telephone,may,mon,506
telephone,may,mon,114
telephone,may,mon,114
telephone,may,mon,843
telephone,may,mon,181
telephone,may,mon,427
telephone,may,mon,292
telephone,may,mon,192
telephone,may,mon,93
telephone,may,mon,128
telephone,may,mon,107
telephone,may,mon,303
telephone,may,mon,81
telephone,may,mon,270
telephone,may,mon,228
telephone,may,mon,240
telephone,may,mon,673
telephone,may,mon,233
telephone,may,mon,102
telephone,may,mon,461
telephone,may,mon,250
telephone,may,mon,130
telephone,may,mon,252
telephone,may,mon,138
telephone,may,mon,412
telephone,may,mon,179
telephone,may,mon,19
telephone,may,mon,228
telephone,may,mon,55
telephone,may,mon,717
telephone,may,mon,313
telephone,may,mon,289
telephone,may,mon,683
telephone,may,mon,1077
telephone,may,mon,146
telephone,may,mon,167
telephone,may,mon,356
telephone,may,mon,277
telephone,may,mon,172
telephone,may,mon,218
telephone,may,mon,217
telephone,may,mon,67
telephone,may,mon,291
telephone,may,mon,248
telephone,may,mon,256
telephone,may,mon,286
telephone,may,mon,477
telephone,may,mon,611
telephone,may,mon,471
telephone,may,mon,381
telephone,may,mon,251
telephone,may,mon,408
telephone,may,mon,287
telephone,may,mon,322
telephone,may,mon,216
telephone,may,mon,366
telephone,may,mon,210
telephone,may,mon,288
telephone,may,mon,168
telephone,may,mon,132
telephone,may,mon,64
telephone,may,mon,209
telephone,may,mon,410
telephone,may,mon,177
telephone,may,mon,580
telephone,may,mon,165
telephone,may,mon,127
telephone,may,mon,357
telephone,may,mon,175
telephone,may,mon,300
telephone,may,mon,136
telephone,may,mon,125
telephone,may,mon,189
telephone,may,mon,213
telephone,may,mon,238
telephone,may,mon,124
telephone,may,mon,18
telephone,may,mon,730
telephone,may,mon,40
telephone,may,mon,181
telephone,may,mon,79
telephone,may,mon,142
telephone,may,mon,389
telephone,may,mon,702
telephone,may,mon,151
telephone,may,mon,211
telephone,may,mon,117
telephone,may,mon,232
telephone,may,mon,408
telephone,may,mon,370
telephone,may,mon,179
telephone,may,mon,46
telephone,may,mon,200
telephone,may,mon,50
telephone,may,mon,181
telephone,may,mon,119
telephone,may,mon,361
telephone,may,mon,73
telephone,may,mon,67
telephone,may,mon,350
telephone,may,mon,150
telephone,may,mon,332
telephone,may,mon,611
telephone,may,mon,58
telephone,may,mon,151
telephone,may,mon,89
telephone,may,mon,152
telephone,may,mon,611
telephone,may,mon,110
telephone,may,mon,463
telephone,may,mon,962
telephone,may,mon,102
telephone,may,mon,10
telephone,may,mon,118
telephone,may,mon,92
telephone,may,mon,143
telephone,may,mon,189
telephone,may,mon,75
telephone,may,mon,189
telephone,may,mon,55
telephone,may,mon,935
telephone,may,mon,56
telephone,may,mon,5
telephone,may,mon,225
telephone,may,mon,125
telephone,may,mon,286
telephone,may,mon,206
telephone,may,mon,164
telephone,may,mon,98
telephone,may,mon,446
telephone,may,mon,742
telephone,may,mon,120
telephone,may,mon,122
telephone,may,mon,362
telephone,may,mon,357
telephone,may,mon,200
telephone,may,mon,107
telephone,may,mon,267
telephone,may,mon,248
telephone,may,mon,215
telephone,may,mon,209
telephone,may,mon,205
telephone,may,mon,261
telephone,may,mon,83
telephone,may,mon,106
telephone,may,mon,106
telephone,may,mon,108
telephone,may,mon,214
telephone,may,mon,358
telephone,may,mon,453
telephone,may,mon,364
telephone,may,mon,136
telephone,may,mon,173
telephone,may,mon,241
telephone,may,mon,224
telephone,may,mon,148
telephone,may,mon,230
telephone,may,mon,199
telephone,may,mon,196
telephone,may,mon,111
telephone,may,mon,231
telephone,may,mon,316
telephone,may,mon,240
telephone,may,mon,669
telephone,may,mon,425
telephone,may,mon,121
telephone,may,mon,174
telephone,may,mon,88
telephone,may,mon,313
telephone,may,mon,135
telephone,may,mon,152
telephone,may,mon,402
telephone,may,mon,221
telephone,may,mon,213
telephone,may,mon,144
telephone,may,mon,158
telephone,may,mon,220
telephone,may,mon,325
telephone,may,mon,254
telephone,may,mon,503
telephone,may,mon,680
telephone,may,mon,421
telephone,may,mon,130
telephone,may,mon,164
telephone,may,mon,174
telephone,may,mon,113
telephone,may,mon,195
telephone,may,mon,347
telephone,may,mon,208
telephone,may,mon,404
telephone,may,mon,396
telephone,may,mon,98
telephone,may,mon,229
telephone,may,mon,350
telephone,may,tue,88
telephone,may,tue,379
telephone,may,tue,168
telephone,may,tue,190
telephone,may,tue,158
telephone,may,tue,210
telephone,may,tue,102
telephone,may,tue,306
telephone,may,tue,64
telephone,may,tue,218
telephone,may,tue,77
telephone,may,tue,54
telephone,may,tue,344
telephone,may,tue,195
telephone,may,tue,202
telephone,may,tue,286
telephone,may,tue,278
telephone,may,tue,189
telephone,may,tue,83
telephone,may,tue,18
telephone,may,tue,184
telephone,may,tue,235
telephone,may,tue,290
telephone,may,tue,133
telephone,may,tue,318
telephone,may,tue,437
telephone,may,tue,402
telephone,may,tue,501
telephone,may,tue,1201
telephone,may,tue,1030
telephone,may,tue,253
telephone,may,tue,149
telephone,may,tue,144
telephone,may,tue,69
telephone,may,tue,243
telephone,may,tue,769
telephone,may,tue,135
telephone,may,tue,231
telephone,may,tue,442
telephone,may,tue,199
telephone,may,tue,455
telephone,may,tue,152
telephone,may,tue,124
telephone,may,tue,424
telephone,may,tue,43
telephone,may,tue,154
telephone,may,tue,393
telephone,may,tue,203
telephone,may,tue,140
telephone,may,tue,326
telephone,may,tue,483
telephone,may,tue,259
telephone,may,tue,227
telephone,may,tue,673
telephone,may,tue,576
telephone,may,tue,180
telephone,may,tue,90
telephone,may,tue,505
telephone,may,tue,245
telephone,may,tue,186
telephone,may,tue,208
telephone,may,tue,623
telephone,may,tue,180
telephone,may,tue,496
telephone,may,tue,118
telephone,may,tue,102
telephone,may,tue,342
telephone,may,tue,225
telephone,may,tue,185
telephone,may,tue,276
telephone,may,tue,87
telephone,may,tue,744
telephone,may,tue,262
telephone,may,tue,271
telephone,may,tue,141
telephone,may,tue,198
telephone,may,tue,150
telephone,may,tue,241
telephone,may,tue,196
telephone,may,tue,149
telephone,may,tue,264
telephone,may,tue,246
telephone,may,tue,309
telephone,may,tue,140
telephone,may,tue,175
telephone,may,tue,136
telephone,may,tue,1623
telephone,may,tue,50
telephone,may,tue,101
telephone,may,tue,144
telephone,may,tue,238
telephone,may,tue,354
telephone,may,tue,451
telephone,may,tue,159
telephone,may,tue,170
telephone,may,tue,243
telephone,may,tue,141
telephone,may,tue,112
telephone,may,tue,262
telephone,may,tue,53
telephone,may,tue,134
telephone,may,tue,204
telephone,may,tue,678
telephone,may,tue,182
telephone,may,tue,162
telephone,may,tue,177
telephone,may,tue,27
telephone,may,tue,699
telephone,may,tue,358
telephone,may,tue,1677
telephone,may,tue,529
telephone,may,tue,310
telephone,may,tue,47
telephone,may,tue,379
telephone,may,tue,30
telephone,may,tue,472
telephone,may,tue,113
telephone,may,tue,114
telephone,may,tue,116
telephone,may,tue,448
telephone,may,tue,264
telephone,may,tue,169
telephone,may,tue,145
telephone,may,tue,288
telephone,may,tue,381
telephone,may,tue,176
telephone,may,tue,215
telephone,may,tue,278
telephone,may,tue,188
telephone,may,tue,174
telephone,may,tue,226
telephone,may,tue,111
telephone,may,tue,157
telephone,may,tue,46
telephone,may,tue,49
telephone,may,tue,374
telephone,may,tue,349
telephone,may,tue,325
telephone,may,tue,233
telephone,may,tue,531
telephone,may,tue,153
telephone,may,tue,80
telephone,may,tue,198
telephone,may,tue,568
telephone,may,tue,918
telephone,may,tue,82
telephone,may,tue,198
telephone,may,tue,211
telephone,may,tue,120
telephone,may,tue,269
telephone,may,tue,128
telephone,may,tue,166
telephone,may,tue,211
telephone,may,tue,369
telephone,may,tue,91
telephone,may,tue,267
telephone,may,tue,198
telephone,may,tue,371
telephone,may,tue,288
telephone,may,tue,221
telephone,may,tue,427
telephone,may,tue,310
telephone,may,tue,158
telephone,may,tue,198
telephone,may,tue,145
telephone,may,tue,247
telephone,may,tue,102
telephone,may,tue,179
telephone,may,tue,73
telephone,may,tue,263
telephone,may,tue,342
telephone,may,tue,41
telephone,may,tue,13
telephone,may,tue,79
telephone,may,tue,358
telephone,may,tue,162
telephone,may,tue,150
telephone,may,tue,26
telephone,may,tue,250
telephone,may,tue,792
telephone,may,tue,146
telephone,may,tue,440
telephone,may,tue,289
telephone,may,tue,242
telephone,may,tue,123
telephone,may,tue,161
telephone,may,tue,268
telephone,may,tue,259
telephone,may,tue,26
telephone,may,tue,153
telephone,may,tue,424
telephone,may,tue,375
telephone,may,tue,179
telephone,may,tue,383
telephone,may,tue,440
telephone,may,tue,195
telephone,may,tue,1297
telephone,may,tue,217
telephone,may,tue,87
telephone,may,tue,427
telephone,may,tue,189
telephone,may,tue,502
telephone,may,tue,260
telephone,may,tue,209
telephone,may,tue,179
telephone,may,tue,179
telephone,may,tue,69
telephone,may,tue,105
telephone,may,tue,266
telephone,may,tue,87
telephone,may,tue,524
telephone,may,tue,155
telephone,may,tue,162
telephone,may,tue,316
telephone,may,tue,352
telephone,may,tue,695
telephone,may,tue,76
telephone,may,tue,535
telephone,may,tue,310
telephone,may,tue,390
telephone,may,tue,369
telephone,may,tue,112
telephone,may,tue,79
telephone,may,tue,140
telephone,may,tue,315
telephone,may,tue,262
telephone,may,tue,174
telephone,may,tue,424
telephone,may,tue,135
telephone,may,tue,36
telephone,may,tue,1906
telephone,may,tue,219
telephone,may,tue,135
telephone,may,tue,147
telephone,may,tue,407
telephone,may,tue,402
telephone,may,tue,209
telephone,may,tue,92
telephone,may,tue,208
telephone,may,tue,193
telephone,may,tue,65
telephone,may,tue,284
telephone,may,tue,285
telephone,may,tue,231
telephone,may,tue,278
telephone,may,tue,389
telephone,may,tue,158
telephone,may,tue,78
telephone,may,tue,258
telephone,may,tue,87
telephone,may,tue,147
telephone,may,tue,635
telephone,may,tue,289
telephone,may,tue,170
telephone,may,tue,802
telephone,may,tue,381
telephone,may,tue,218
telephone,may,tue,57
telephone,may,tue,304
telephone,may,tue,241
telephone,may,tue,230
telephone,may,tue,79
telephone,may,tue,262
telephone,may,tue,392
telephone,may,tue,201
telephone,may,tue,145
telephone,may,tue,252
telephone,may,tue,329
telephone,may,tue,328
telephone,may,tue,191
telephone,may,tue,116
telephone,may,tue,246
telephone,may,tue,532
telephone,may,tue,293
telephone,may,tue,416
telephone,may,tue,37
telephone,may,tue,132
telephone,may,tue,530
telephone,may,tue,175
telephone,may,tue,90
telephone,may,tue,524
telephone,may,tue,29
telephone,may,tue,311
telephone,may,tue,412
telephone,may,tue,211
telephone,may,tue,312
telephone,may,tue,392
telephone,may,tue,191
telephone,may,tue,284
telephone,may,tue,328
telephone,may,tue,100
telephone,may,tue,226
telephone,may,tue,507
telephone,may,tue,333
telephone,may,tue,128
telephone,may,tue,322
telephone,may,tue,202
telephone,may,tue,92
telephone,may,tue,205
telephone,may,tue,739
telephone,may,tue,273
telephone,may,tue,339
telephone,may,tue,262
telephone,may,tue,308
telephone,may,tue,467
telephone,may,tue,245
telephone,may,tue,160
telephone,may,tue,189
telephone,may,tue,477
telephone,may,tue,65
telephone,may,tue,191
telephone,may,tue,196
telephone,may,tue,221
telephone,may,tue,197
telephone,may,tue,178
telephone,may,tue,221
telephone,may,tue,64
telephone,may,tue,75
telephone,may,tue,400
telephone,may,tue,378
telephone,may,tue,118
telephone,may,tue,1597
telephone,may,tue,346
telephone,may,tue,107
telephone,may,tue,60
telephone,may,tue,276
telephone,may,tue,176
telephone,may,tue,390
telephone,may,tue,251
telephone,may,tue,716
telephone,may,tue,189
telephone,may,tue,125
telephone,may,tue,234
telephone,may,tue,79
telephone,may,tue,13
telephone,may,tue,296
telephone,may,tue,114
telephone,may,tue,283
telephone,may,tue,109
telephone,may,tue,132
telephone,may,tue,144
telephone,may,tue,121
telephone,may,tue,95
telephone,may,tue,31
telephone,may,tue,112
telephone,may,tue,161
telephone,may,tue,87
telephone,may,tue,593
telephone,may,tue,99
telephone,may,tue,198
telephone,may,tue,285
telephone,may,tue,190
telephone,may,tue,172
telephone,may,tue,178
telephone,may,tue,174
telephone,may,tue,631
telephone,may,tue,152
telephone,may,tue,176
telephone,may,tue,32
telephone,may,tue,1529
telephone,may,tue,254
telephone,may,tue,214
telephone,may,tue,147
telephone,may,tue,800
telephone,may,tue,106
telephone,may,tue,135
telephone,may,tue,112
telephone,may,tue,222
telephone,may,tue,314
telephone,may,tue,421
telephone,may,tue,410
telephone,may,tue,207
telephone,may,tue,239
telephone,may,tue,83
telephone,may,tue,160
telephone,may,tue,42
telephone,may,tue,55
telephone,may,tue,157
telephone,may,tue,303
telephone,may,tue,336
telephone,may,tue,233
telephone,may,tue,211
telephone,may,tue,88
telephone,may,tue,139
telephone,may,tue,329
telephone,may,tue,305
telephone,may,tue,206
telephone,may,tue,128
telephone,may,tue,122
telephone,may,tue,343
telephone,may,tue,126
telephone,may,tue,249
telephone,may,tue,59
telephone,may,tue,166
telephone,may,tue,190
telephone,may,tue,216
telephone,may,wed,51
telephone,may,wed,169
telephone,may,wed,148
telephone,may,wed,132
telephone,may,wed,117
telephone,may,wed,275
telephone,may,wed,124
telephone,may,wed,118
telephone,may,wed,479
telephone,may,wed,285
telephone,may,wed,322
telephone,may,wed,202
telephone,may,wed,162
telephone,may,wed,216
telephone,may,wed,195
telephone,may,wed,96
telephone,may,wed,149
telephone,may,wed,720
telephone,may,wed,92
telephone,may,wed,188
telephone,may,wed,70
telephone,may,wed,141
telephone,may,wed,395
telephone,may,wed,629
telephone,may,wed,261
telephone,may,wed,502
telephone,may,wed,446
telephone,may,wed,131
telephone,may,wed,198
telephone,may,wed,312
telephone,may,wed,275
telephone,may,wed,120
telephone,may,wed,333
telephone,may,wed,113
telephone,may,wed,150
telephone,may,wed,91
telephone,may,wed,296
telephone,may,wed,128
telephone,may,wed,298
telephone,may,wed,326
telephone,may,wed,292
telephone,may,wed,215
telephone,may,wed,97
telephone,may,wed,32
telephone,may,wed,162
telephone,may,wed,421
telephone,may,wed,268
telephone,may,wed,232
telephone,may,wed,152
telephone,may,wed,104
telephone,may,wed,852
telephone,may,wed,159
telephone,may,wed,416
telephone,may,wed,174
telephone,may,wed,139
telephone,may,wed,193
telephone,may,wed,294
telephone,may,wed,102
telephone,may,wed,124
telephone,may,wed,143
telephone,may,wed,231
telephone,may,wed,128
telephone,may,wed,74
telephone,may,wed,105
telephone,may,wed,992
telephone,may,wed,168
telephone,may,wed,250
telephone,may,wed,254
telephone,may,wed,149
telephone,may,wed,133
telephone,may,wed,374
telephone,may,wed,425
telephone,may,wed,207
telephone,may,wed,464
telephone,may,wed,439
telephone,may,wed,83
telephone,may,wed,732
telephone,may,wed,149
telephone,may,wed,142
telephone,may,wed,121
telephone,may,wed,359
telephone,may,wed,112
telephone,may,wed,274
telephone,may,wed,325
telephone,may,wed,1521
telephone,may,wed,216
telephone,may,wed,161
telephone,may,wed,122
telephone,may,wed,800
telephone,may,wed,615
telephone,may,wed,111
telephone,may,wed,359
telephone,may,wed,327
telephone,may,wed,236
telephone,may,wed,227
telephone,may,wed,109
telephone,may,wed,492
telephone,may,wed,298
telephone,may,wed,83
telephone,may,wed,241
telephone,may,wed,1138
telephone,may,wed,131
telephone,may,wed,123
telephone,may,wed,125
telephone,may,wed,295
telephone,may,wed,287
telephone,may,wed,109
telephone,may,wed,140
telephone,may,wed,52
telephone,may,wed,233
telephone,may,wed,254
telephone,may,wed,255
telephone,may,wed,126
telephone,may,wed,184
telephone,may,wed,591
telephone,may,wed,294
telephone,may,wed,285
telephone,may,wed,173
telephone,may,wed,336
telephone,may,wed,344
telephone,may,wed,786
telephone,may,wed,153
telephone,may,wed,99
telephone,may,wed,243
telephone,may,wed,260
telephone,may,wed,164
telephone,may,wed,255
telephone,may,wed,47
telephone,may,wed,110
telephone,may,wed,463
telephone,may,wed,192
telephone,may,wed,388
telephone,may,wed,221
telephone,may,wed,25
telephone,may,wed,256
telephone,may,wed,104
telephone,may,wed,283
telephone,may,wed,448
telephone,may,wed,127
telephone,may,wed,378
telephone,may,wed,67
telephone,may,wed,221
telephone,may,wed,150
telephone,may,wed,144
telephone,may,wed,296
telephone,may,wed,161
telephone,may,wed,401
telephone,may,wed,435
telephone,may,wed,388
telephone,may,wed,245
telephone,may,wed,143
telephone,may,wed,423
telephone,may,wed,231
telephone,may,wed,181
telephone,may,wed,107
telephone,may,wed,227
telephone,may,wed,69
telephone,may,wed,799
telephone,may,wed,109
telephone,may,wed,127
telephone,may,wed,45
telephone,may,wed,120
telephone,may,wed,68
telephone,may,wed,180
telephone,may,wed,112
telephone,may,wed,444
telephone,may,wed,246
telephone,may,wed,148
telephone,may,wed,223
telephone,may,wed,566
telephone,may,wed,274
telephone,may,wed,49
telephone,may,wed,97
telephone,may,wed,376
telephone,may,wed,421
telephone,may,wed,511
telephone,may,wed,121
telephone,may,wed,157
telephone,may,wed,101
telephone,may,wed,328
telephone,may,wed,19
telephone,may,wed,866
telephone,may,wed,229
telephone,may,wed,154
telephone,may,wed,56
telephone,may,wed,199
telephone,may,wed,117
telephone,may,wed,1581
telephone,may,wed,185
telephone,may,wed,202
telephone,may,wed,279
telephone,may,wed,180
telephone,may,wed,530
telephone,may,wed,129
telephone,may,wed,60
telephone,may,wed,432
telephone,may,wed,516
telephone,may,wed,617
telephone,may,wed,179
telephone,may,wed,125
telephone,may,wed,262
telephone,may,wed,396
telephone,may,wed,294
telephone,may,wed,171
telephone,may,wed,614
telephone,may,wed,118
telephone,may,wed,485
telephone,may,wed,406
telephone,may,wed,287
telephone,may,wed,216
telephone,may,wed,37
telephone,may,wed,650
telephone,may,wed,590
telephone,may,wed,55
telephone,may,wed,166
telephone,may,wed,371
telephone,may,wed,48
telephone,may,wed,72
telephone,may,wed,55
telephone,may,wed,92
telephone,may,wed,196
telephone,may,wed,96
telephone,may,wed,144
telephone,may,wed,474
telephone,may,wed,559
telephone,may,wed,1101
telephone,may,wed,229
telephone,may,wed,236
telephone,may,wed,164
telephone,may,wed,93
telephone,may,wed,123
telephone,may,wed,912
telephone,may,wed,209
telephone,may,wed,485
telephone,may,wed,206
telephone,may,wed,239
telephone,may,wed,311
telephone,may,wed,362
telephone,may,wed,274
telephone,may,wed,163
telephone,may,wed,345
telephone,may,wed,329
telephone,may,wed,68
telephone,may,wed,143
telephone,may,wed,214
telephone,may,wed,1062
telephone,may,wed,258
telephone,may,wed,253
telephone,may,wed,106
telephone,may,wed,688
telephone,may,wed,103
telephone,may,wed,349
telephone,may,wed,170
telephone,may,wed,78
telephone,may,wed,194
telephone,may,wed,126
telephone,may,wed,224
telephone,may,wed,98
telephone,may,wed,252
telephone,may,wed,607
telephone,may,wed,331
telephone,may,wed,398
telephone,may,wed,103
telephone,may,wed,241
telephone,may,wed,803
telephone,may,wed,203
telephone,may,wed,96
telephone,may,wed,238
telephone,may,wed,153
telephone,may,wed,481
telephone,may,wed,119
telephone,may,wed,245
telephone,may,wed,152
telephone,may,wed,418
telephone,may,wed,421
telephone,may,wed,198
telephone,may,wed,175
telephone,may,wed,374
telephone,may,wed,51
telephone,may,wed,263
telephone,may,wed,257
telephone,may,wed,229
telephone,may,wed,154
telephone,may,wed,278
telephone,may,wed,306
telephone,may,wed,114
telephone,may,wed,24
telephone,may,wed,79
telephone,may,wed,169
telephone,may,wed,332
telephone,may,wed,263
telephone,may,wed,353
telephone,may,wed,108
telephone,may,wed,441
telephone,may,wed,46
telephone,may,wed,266
telephone,may,wed,222
telephone,may,wed,1009
telephone,may,wed,105
telephone,may,wed,381
telephone,may,wed,228
telephone,may,wed,128
telephone,may,wed,550
telephone,may,wed,764
telephone,may,wed,113
telephone,may,wed,396
telephone,may,wed,42
telephone,may,wed,234
telephone,may,wed,50
telephone,may,wed,110
telephone,may,wed,274
telephone,may,wed,191
telephone,may,wed,305
telephone,may,wed,134
telephone,may,wed,112
telephone,may,wed,217
telephone,may,wed,283
telephone,may,wed,353
telephone,may,wed,212
telephone,may,wed,225
telephone,may,wed,283
telephone,may,wed,1273
telephone,may,wed,1574
telephone,may,wed,139
telephone,may,wed,62
telephone,may,wed,256
telephone,may,wed,245
telephone,may,wed,161
telephone,may,wed,245
telephone,may,wed,89
telephone,may,wed,591
telephone,may,wed,113
telephone,may,wed,517
telephone,may,wed,193
telephone,may,wed,231
telephone,may,wed,348
telephone,may,wed,299
telephone,may,wed,103
telephone,may,wed,253
telephone,may,wed,73
telephone,may,wed,164
telephone,may,wed,244
telephone,may,wed,191
telephone,may,wed,157
telephone,may,wed,548
telephone,may,wed,114
telephone,may,wed,126
telephone,may,wed,161
telephone,may,wed,333
telephone,may,wed,155
telephone,may,wed,152
telephone,may,wed,145
telephone,may,wed,66
telephone,may,wed,123
telephone,may,wed,74
telephone,may,wed,248
telephone,may,wed,275
telephone,may,wed,984
telephone,may,wed,1689
telephone,may,wed,84
telephone,may,wed,27
telephone,may,wed,130
telephone,may,wed,489
telephone,may,wed,41
telephone,may,wed,159
telephone,may,wed,276
telephone,may,wed,196
telephone,may,wed,81
telephone,may,wed,865
telephone,may,wed,149
telephone,may,wed,281
telephone,may,wed,122
telephone,may,wed,361
telephone,may,wed,944
telephone,may,wed,319
telephone,may,wed,35
telephone,may,wed,143
telephone,may,wed,22
telephone,may,wed,90
telephone,may,wed,505
telephone,may,wed,17
telephone,may,wed,404
telephone,may,wed,238
telephone,may,wed,71
telephone,may,wed,309
telephone,may,wed,408
telephone,may,wed,157
telephone,may,wed,280
telephone,may,wed,374
telephone,may,wed,365
telephone,may,thu,177
telephone,may,thu,238
telephone,may,thu,31
telephone,may,thu,425
telephone,may,thu,77
telephone,may,thu,223
telephone,may,thu,239
telephone,may,thu,116
telephone,may,thu,308
telephone,may,thu,137
telephone,may,thu,162
telephone,may,thu,134
telephone,may,thu,175
telephone,may,thu,125
telephone,may,thu,211
telephone,may,thu,180
telephone,may,thu,67
telephone,may,thu,196
telephone,may,thu,342
telephone,may,thu,156
telephone,may,thu,813
telephone,may,thu,178
telephone,may,thu,142
telephone,may,thu,194
telephone,may,thu,132
telephone,may,thu,110
telephone,may,thu,109
telephone,may,thu,94
telephone,may,thu,31
telephone,may,thu,220
telephone,may,thu,489
telephone,may,thu,180
telephone,may,thu,314
telephone,may,thu,203
telephone,may,thu,328
telephone,may,thu,207
telephone,may,thu,193
telephone,may,thu,177
telephone,may,thu,528
telephone,may,thu,183
telephone,may,thu,238
telephone,may,thu,61
telephone,may,thu,70
telephone,may,thu,541
telephone,may,thu,41
telephone,may,thu,93
telephone,may,thu,149
telephone,may,thu,35
telephone,may,thu,262
telephone,may,thu,151
telephone,may,thu,135
telephone,may,thu,221
telephone,may,thu,604
telephone,may,thu,86
telephone,may,thu,65
telephone,may,thu,380
telephone,may,thu,11
telephone,may,thu,184
telephone,may,thu,405
telephone,may,thu,20
telephone,may,thu,202
telephone,may,thu,235
telephone,may,thu,75
telephone,may,thu,134
telephone,may,thu,255
telephone,may,thu,462
telephone,may,thu,80
telephone,may,thu,56
telephone,may,thu,418
telephone,may,thu,139
telephone,may,thu,96
telephone,may,thu,39
telephone,may,thu,231
telephone,may,thu,66
telephone,may,thu,204
telephone,may,thu,159
telephone,may,thu,129
telephone,may,thu,200
telephone,may,thu,187
telephone,may,thu,166
telephone,may,thu,144
telephone,may,thu,323
telephone,may,thu,194
telephone,may,thu,82
telephone,may,thu,521
telephone,may,thu,269
telephone,may,thu,285
telephone,may,thu,1119
telephone,may,thu,294
telephone,may,thu,106
telephone,may,thu,158
telephone,may,thu,152
telephone,may,thu,12
telephone,may,thu,187
telephone,may,thu,268
telephone,may,thu,193
telephone,may,thu,95
telephone,may,thu,60
telephone,may,thu,206
telephone,may,thu,155
telephone,may,thu,216
telephone,may,thu,103
telephone,may,thu,107
telephone,may,thu,219
telephone,may,thu,147
telephone,may,thu,190
telephone,may,thu,339
telephone,may,thu,198
telephone,may,thu,141
telephone,may,thu,255
telephone,may,thu,1120
telephone,may,thu,369
telephone,may,thu,226
telephone,may,thu,215
telephone,may,thu,306
telephone,may,thu,249
telephone,may,thu,143
telephone,may,thu,162
telephone,may,thu,81
telephone,may,thu,124
telephone,may,thu,124
