id,age,age_bin,job,marital,education,education_ord,young_short_call
51,54,50-64,admin.,married,high.school,4.0,0
52,39,35-49,housemaid,married,basic.4y,1.0,0
53,60,50-64,admin.,married,high.school,4.0,0
54,53,50-64,admin.,single,professional.course,6.0,0
55,55,50-64,blue-collar,married,basic.4y,1.0,0
56,55,50-64,technician,married,professional.course,6.0,0
57,50,35-49,management,married,university.degree,5.0,0
58,45,35-49,services,married,high.school,4.0,0
59,55,50-64,unemployed,married,professional.course,6.0,0
60,25,<25,technician,single,university.degree,5.0,1
61,47,35-49,entrepreneur,married,university.degree,5.0,0
62,51,50-64,blue-collar,married,basic.9y,3.0,0
63,42,35-49,blue-collar,married,basic.6y,2.0,0
64,42,35-49,blue-collar,married,basic.6y,2.0,0
65,48,35-49,admin.,married,high.school,4.0,0
66,37,35-49,admin.,married,university.degree,5.0,0
67,44,35-49,blue-collar,single,basic.9y,3.0,0
68,33,25-34,admin.,married,,,0
69,56,50-64,admin.,married,basic.9y,3.0,0
70,44,35-49,blue-collar,single,basic.4y,1.0,0
71,41,35-49,management,married,basic.6y,2.0,0
72,44,35-49,management,divorced,university.degree,5.0,0
73,47,35-49,admin.,married,university.degree,5.0,0
74,57,50-64,,married,,,0
75,37,35-49,admin.,married,university.degree,5.0,0
76,41,35-49,blue-collar,divorced,basic.4y,1.0,0
77,55,50-64,technician,married,university.degree,5.0,0
78,33,25-34,services,married,high.school,4.0,0
79,55,50-64,management,married,,,0
80,42,35-49,blue-collar,married,basic.9y,3.0,0
81,50,35-49,blue-collar,married,basic.4y,1.0,0
82,51,50-64,blue-collar,married,basic.4y,1.0,0
83,38,35-49,admin.,married,high.school,4.0,0
84,49,35-49,entrepreneur,married,university.degree,5.0,0
85,38,35-49,technician,single,university.degree,5.0,0
86,31,25-34,admin.,divorced,high.school,4.0,0
87,41,35-49,management,married,basic.6y,2.0,0
88,39,35-49,admin.,married,university.degree,5.0,0
89,49,35-49,technician,married,basic.9y,3.0,0
90,34,25-34,admin.,married,high.school,4.0,0
91,35,25-34,admin.,married,university.degree,5.0,0
92,57,50-64,,married,,,0
93,60,50-64,admin.,married,,,0
94,33,25-34,unemployed,married,basic.9y,3.0,0
95,42,35-49,blue-collar,married,basic.6y,2.0,0
96,45,35-49,services,married,professional.course,6.0,0
97,42,35-49,management,married,university.degree,5.0,0
98,53,50-64,admin.,divorced,university.degree,5.0,0
99,37,35-49,technician,single,professional.course,6.0,0
100,44,35-49,blue-collar,married,basic.6y,2.0,0
101,54,50-64,services,married,,,0
102,49,35-49,blue-collar,married,basic.4y,1.0,0
103,54,50-64,services,married,,,0
104,52,50-64,admin.,divorced,university.degree,5.0,0
105,52,50-64,admin.,divorced,university.degree,5.0,0
106,43,35-49,services,single,high.school,4.0,0
107,34,25-34,housemaid,married,basic.6y,2.0,0
108,35,25-34,admin.,married,high.school,4.0,0
109,42,35-49,entrepreneur,married,,,0
110,43,35-49,technician,married,,,0
111,60,50-64,retired,divorced,university.degree,5.0,0
112,58,50-64,unemployed,married,basic.4y,1.0,0
113,35,25-34,services,divorced,high.school,4.0,0
114,55,50-64,blue-collar,married,basic.9y,3.0,0
115,37,35-49,management,married,university.degree,5.0,0
116,36,35-49,blue-collar,married,high.school,4.0,0
117,52,50-64,admin.,divorced,university.degree,5.0,0
118,57,50-64,blue-collar,divorced,,,0
119,56,50-64,admin.,married,,,0
120,48,35-49,blue-collar,divorced,basic.4y,1.0,0
121,40,35-49,blue-collar,married,high.school,4.0,0
122,49,35-49,blue-collar,divorced,high.school,4.0,0
123,41,35-49,services,married,high.school,4.0,0
124,45,35-49,technician,married,high.school,4.0,0
125,32,25-34,admin.,married,university.degree,5.0,1
126,42,35-49,admin.,married,university.degree,5.0,0
127,50,35-49,admin.,married,basic.6y,2.0,0
128,31,25-34,technician,divorced,professional.course,6.0,1
129,56,50-64,retired,married,basic.4y,1.0,0
130,41,35-49,technician,married,professional.course,6.0,0
131,37,35-49,blue-collar,married,basic.6y,2.0,0
132,41,35-49,technician,married,professional.course,6.0,0
133,35,25-34,blue-collar,married,,,0
134,37,35-49,blue-collar,married,basic.6y,2.0,0
135,52,50-64,management,married,university.degree,5.0,0
136,39,35-49,management,divorced,university.degree,5.0,0
137,39,35-49,housemaid,married,basic.4y,1.0,0
138,56,50-64,blue-collar,married,basic.4y,1.0,0
139,34,25-34,services,married,high.school,4.0,1
140,45,35-49,blue-collar,married,basic.9y,3.0,0
141,43,35-49,unemployed,single,university.degree,5.0,0
142,56,50-64,management,married,,,0
143,39,35-49,management,married,university.degree,5.0,0
144,53,50-64,blue-collar,married,basic.4y,1.0,0
145,38,35-49,,divorced,high.school,4.0,0
146,42,35-49,blue-collar,married,basic.4y,1.0,0
147,42,35-49,blue-collar,married,basic.4y,1.0,0
148,35,25-34,admin.,single,high.school,4.0,0
149,40,35-49,admin.,married,university.degree,5.0,0
150,51,50-64,blue-collar,married,basic.4y,1.0,0
151,60,50-64,blue-collar,married,basic.9y,3.0,0
152,56,50-64,entrepreneur,married,,,0
153,39,35-49,services,divorced,high.school,4.0,0
154,56,50-64,entrepreneur,married,,,0
155,40,35-49,blue-collar,married,,,0
156,36,35-49,blue-collar,married,basic.9y,3.0,0
157,51,50-64,blue-collar,married,,,0
158,51,50-64,blue-collar,married,,,0
159,43,35-49,technician,single,professional.course,6.0,0
160,59,50-64,services,married,high.school,4.0,0
161,24,<25,management,single,university.degree,5.0,1
162,37,35-49,blue-collar,single,basic.9y,3.0,0
163,40,35-49,blue-collar,married,basic.9y,3.0,0
164,42,35-49,blue-collar,married,basic.9y,3.0,0
165,39,35-49,services,divorced,high.school,4.0,0
166,37,35-49,entrepreneur,married,basic.6y,2.0,0
167,38,35-49,services,married,high.school,4.0,0
168,56,50-64,admin.,divorced,,,0
169,40,35-49,blue-collar,married,,,0
170,54,50-64,management,divorced,university.degree,5.0,0
171,43,35-49,blue-collar,married,high.school,4.0,0
172,36,35-49,services,married,high.school,4.0,0
173,45,35-49,technician,married,university.degree,5.0,0
174,42,35-49,admin.,single,university.degree,5.0,0
175,43,35-49,services,married,high.school,4.0,0
176,46,35-49,management,married,basic.9y,3.0,0
177,44,35-49,services,married,high.school,4.0,0
178,51,50-64,admin.,single,basic.6y,2.0,0
179,28,25-34,services,married,high.school,4.0,1
180,37,35-49,blue-collar,married,basic.9y,3.0,0
181,34,25-34,technician,married,high.school,4.0,0
182,46,35-49,blue-collar,married,basic.6y,2.0,0
183,42,35-49,blue-collar,married,basic.9y,3.0,0
184,36,35-49,admin.,married,university.degree,5.0,0
185,54,50-64,blue-collar,married,basic.4y,1.0,0
186,57,50-64,management,married,university.degree,5.0,0
187,51,50-64,technician,married,basic.6y,2.0,0
188,54,50-64,retired,married,high.school,4.0,0
189,49,35-49,blue-collar,married,basic.4y,1.0,0
190,34,25-34,admin.,married,university.degree,5.0,1
191,41,35-49,technician,married,professional.course,6.0,0
192,38,35-49,blue-collar,single,basic.9y,3.0,0
193,45,35-49,management,divorced,university.degree,5.0,0
194,42,35-49,technician,married,university.degree,5.0,0
195,34,25-34,blue-collar,single,basic.9y,3.0,1
196,48,35-49,blue-collar,married,basic.4y,1.0,0
197,37,35-49,admin.,married,high.school,4.0,0
198,34,25-34,blue-collar,single,basic.9y,3.0,0
199,40,35-49,admin.,married,basic.9y,3.0,0
200,43,35-49,blue-collar,married,basic.6y,2.0,0
201,33,25-34,services,married,high.school,4.0,1
202,32,25-34,services,single,basic.6y,2.0,1
203,39,35-49,blue-collar,married,high.school,4.0,0
204,43,35-49,admin.,married,,,0
205,44,35-49,blue-collar,married,basic.9y,3.0,0
206,35,25-34,student,single,university.degree,5.0,0
207,35,25-34,student,single,university.degree,5.0,0
208,35,25-34,unemployed,married,professional.course,6.0,0
209,36,35-49,services,single,basic.4y,1.0,0
210,35,25-34,student,single,university.degree,5.0,0
211,36,35-49,student,single,basic.9y,3.0,0
212,55,50-64,housemaid,divorced,university.degree,5.0,0
213,59,50-64,admin.,married,university.degree,5.0,0
214,57,50-64,retired,married,,,0
215,39,35-49,blue-collar,married,professional.course,6.0,0
216,39,35-49,housemaid,married,basic.4y,1.0,0
217,30,25-34,blue-collar,single,,,0
218,30,25-34,blue-collar,single,,,0
219,50,35-49,housemaid,married,basic.4y,1.0,0
220,40,35-49,services,married,high.school,4.0,0
221,35,25-34,admin.,married,high.school,4.0,0
222,43,35-49,technician,married,,,0
223,36,35-49,services,single,basic.6y,2.0,0
224,46,35-49,technician,married,basic.4y,1.0,0
225,40,35-49,technician,married,basic.9y,3.0,0
226,58,50-64,retired,married,university.degree,5.0,0
227,42,35-49,technician,married,university.degree,5.0,0
228,35,25-34,admin.,single,university.degree,5.0,0
229,43,35-49,retired,married,basic.4y,1.0,0
230,45,35-49,blue-collar,married,basic.4y,1.0,0
231,39,35-49,admin.,married,professional.course,6.0,0
232,50,35-49,services,divorced,professional.course,6.0,0
233,32,25-34,management,divorced,basic.4y,1.0,1
234,39,35-49,admin.,married,high.school,4.0,0
235,52,50-64,self-employed,married,university.degree,5.0,0
236,44,35-49,admin.,married,professional.course,6.0,0
237,56,50-64,blue-collar,married,basic.4y,1.0,0
238,48,35-49,admin.,married,high.school,4.0,0
239,33,25-34,services,married,high.school,4.0,0
240,43,35-49,management,married,university.degree,5.0,0
241,57,50-64,retired,married,high.school,4.0,0
242,36,35-49,technician,single,professional.course,6.0,0
243,34,25-34,management,married,university.degree,5.0,1
244,34,25-34,services,single,basic.9y,3.0,0
245,30,25-34,technician,married,university.degree,5.0,1
246,33,25-34,services,divorced,,,0
247,32,25-34,technician,single,professional.course,6.0,1
248,36,35-49,technician,single,high.school,4.0,0
249,36,35-49,blue-collar,single,high.school,4.0,0
250,33,25-34,services,single,high.school,4.0,0
251,40,35-49,technician,divorced,professional.course,6.0,0
252,41,35-49,blue-collar,married,basic.4y,1.0,0
253,51,50-64,services,married,basic.6y,2.0,0
254,36,35-49,technician,married,professional.course,6.0,0
255,28,25-34,services,married,,,0
256,53,50-64,services,married,high.school,4.0,0
257,58,50-64,blue-collar,married,basic.9y,3.0,0
258,45,35-49,management,married,basic.9y,3.0,0
259,43,35-49,technician,married,,,0
260,33,25-34,admin.,married,high.school,4.0,1
261,33,25-34,admin.,married,high.school,4.0,0
262,27,25-34,blue-collar,single,basic.6y,2.0,1
263,42,35-49,technician,married,high.school,4.0,0
264,43,35-49,admin.,divorced,basic.9y,3.0,0
265,42,35-49,admin.,married,university.degree,5.0,0
266,27,25-34,blue-collar,single,basic.6y,2.0,0
267,34,25-34,self-employed,single,university.degree,5.0,1
268,31,25-34,student,single,university.degree,5.0,0
269,54,50-64,management,divorced,university.degree,5.0,0
270,40,35-49,self-employed,married,basic.4y,1.0,0
271,52,50-64,unemployed,married,high.school,4.0,0
272,47,35-49,management,divorced,university.degree,5.0,0
273,49,35-49,housemaid,married,basic.9y,3.0,0
274,32,25-34,admin.,single,high.school,4.0,0
275,49,35-49,housemaid,single,high.school,4.0,0
276,50,35-49,blue-collar,married,basic.9y,3.0,0
277,34,25-34,services,married,high.school,4.0,0
278,55,50-64,blue-collar,married,basic.4y,1.0,0
279,47,35-49,technician,single,basic.9y,3.0,0
280,51,50-64,retired,married,professional.course,6.0,0
281,47,35-49,blue-collar,married,basic.6y,2.0,0
282,56,50-64,technician,married,basic.4y,1.0,0
283,53,50-64,admin.,married,basic.9y,3.0,0
284,36,35-49,blue-collar,married,basic.9y,3.0,0
285,42,35-49,blue-collar,divorced,basic.9y,3.0,0
286,44,35-49,blue-collar,divorced,basic.6y,2.0,0
287,39,35-49,housemaid,married,basic.9y,3.0,0
288,37,35-49,admin.,single,high.school,4.0,0
289,60,50-64,blue-collar,married,,,0
290,36,35-49,services,married,high.school,4.0,0
291,42,35-49,management,divorced,university.degree,5.0,0
292,31,25-34,admin.,married,high.school,4.0,0
293,53,50-64,technician,divorced,professional.course,6.0,0
294,45,35-49,blue-collar,married,basic.4y,1.0,0
295,37,35-49,technician,single,professional.course,6.0,0
296,47,35-49,self-employed,married,professional.course,6.0,0
297,49,35-49,blue-collar,divorced,high.school,4.0,0
298,36,35-49,admin.,married,university.degree,5.0,0
299,35,25-34,services,divorced,high.school,4.0,0
300,38,35-49,,married,,,0
301,38,35-49,services,single,high.school,4.0,0
302,50,35-49,blue-collar,divorced,high.school,4.0,0
303,59,50-64,retired,married,professional.course,6.0,0
304,43,35-49,,married,,,0
305,42,35-49,admin.,married,high.school,4.0,0
306,40,35-49,admin.,married,basic.6y,2.0,0
307,46,35-49,blue-collar,married,,,0
308,57,50-64,housemaid,divorced,basic.4y,1.0,0
309,42,35-49,admin.,married,university.degree,5.0,0
310,41,35-49,blue-collar,married,basic.4y,1.0,0
311,54,50-64,management,divorced,university.degree,5.0,0
312,27,25-34,admin.,single,university.degree,5.0,1
313,36,35-49,admin.,married,high.school,4.0,0
314,58,50-64,blue-collar,married,professional.course,6.0,0
315,40,35-49,management,married,university.degree,5.0,0
316,34,25-34,admin.,single,basic.9y,3.0,0
317,33,25-34,admin.,divorced,high.school,4.0,0
318,56,50-64,retired,married,basic.6y,2.0,0
319,42,35-49,blue-collar,married,basic.9y,3.0,0
320,43,35-49,services,married,high.school,4.0,0
321,54,50-64,management,single,basic.9y,3.0,0
322,53,50-64,admin.,single,basic.6y,2.0,0
323,42,35-49,technician,single,,,0
324,40,35-49,services,married,basic.6y,2.0,0
325,54,50-64,technician,married,professional.course,6.0,0
326,40,35-49,housemaid,single,professional.course,6.0,0
327,26,25-34,admin.,single,university.degree,5.0,0
328,33,25-34,admin.,married,high.school,4.0,0
329,35,25-34,blue-collar,married,basic.9y,3.0,0
330,36,35-49,admin.,married,high.school,4.0,0
331,29,25-34,services,single,high.school,4.0,0
332,36,35-49,blue-collar,married,basic.9y,3.0,0
333,35,25-34,management,married,high.school,4.0,0
334,50,35-49,self-employed,single,university.degree,5.0,0
335,46,35-49,services,married,high.school,4.0,0
336,49,35-49,entrepreneur,married,high.school,4.0,0
337,42,35-49,technician,single,professional.course,6.0,0
338,36,35-49,blue-collar,single,high.school,4.0,0
339,55,50-64,blue-collar,married,basic.9y,3.0,0
340,41,35-49,management,married,university.degree,5.0,0
341,57,50-64,management,married,professional.course,6.0,0
342,32,25-34,services,single,high.school,4.0,1
343,49,35-49,admin.,married,basic.9y,3.0,0
344,57,50-64,,married,,,0
345,58,50-64,blue-collar,divorced,basic.4y,1.0,0
346,52,50-64,technician,married,high.school,4.0,0
347,50,35-49,services,divorced,professional.course,6.0,0
348,41,35-49,blue-collar,single,basic.9y,3.0,0
349,33,25-34,entrepreneur,married,university.degree,5.0,1
350,57,50-64,blue-collar,married,basic.4y,1.0,0
351,48,35-49,blue-collar,married,basic.6y,2.0,0
352,55,50-64,technician,married,professional.course,6.0,0
353,38,35-49,management,married,university.degree,5.0,0
354,38,35-49,services,married,high.school,4.0,0
355,53,50-64,admin.,married,university.degree,5.0,0
356,43,35-49,unemployed,single,university.degree,5.0,0
357,36,35-49,blue-collar,single,high.school,4.0,0
358,32,25-34,blue-collar,married,basic.9y,3.0,1
359,33,25-34,services,married,basic.4y,1.0,0
360,58,50-64,entrepreneur,married,basic.4y,1.0,0
361,40,35-49,unemployed,divorced,high.school,4.0,0
362,57,50-64,management,married,university.degree,5.0,0
363,45,35-49,technician,married,high.school,4.0,0
364,42,35-49,blue-collar,married,basic.4y,1.0,0
365,46,35-49,admin.,married,university.degree,5.0,0
366,36,35-49,technician,married,university.degree,5.0,0
367,41,35-49,self-employed,married,high.school,4.0,0
368,57,50-64,admin.,divorced,basic.9y,3.0,0
369,49,35-49,blue-collar,married,basic.9y,3.0,0
370,56,50-64,management,divorced,high.school,4.0,0
371,37,35-49,blue-collar,married,basic.9y,3.0,0
372,37,35-49,blue-collar,married,basic.9y,3.0,0
373,46,35-49,admin.,single,high.school,4.0,0
374,22,<25,blue-collar,single,basic.9y,3.0,0
375,43,35-49,services,married,high.school,4.0,0
376,49,35-49,blue-collar,married,,,0
377,41,35-49,technician,married,basic.6y,2.0,0
378,38,35-49,admin.,single,university.degree,5.0,0
379,33,25-34,admin.,married,basic.9y,3.0,1
380,49,35-49,admin.,married,university.degree,5.0,0
381,30,25-34,blue-collar,single,,,0
382,33,25-34,admin.,married,basic.9y,3.0,0
383,34,25-34,management,single,university.degree,5.0,0
384,30,25-34,student,single,,,1
385,59,50-64,management,married,basic.4y,1.0,0
386,59,50-64,management,married,basic.4y,1.0,0
387,41,35-49,self-employed,married,university.degree,5.0,0
388,48,35-49,housemaid,married,basic.6y,2.0,0
389,28,25-34,,single,,,0
390,44,35-49,services,married,high.school,4.0,0
391,59,50-64,retired,,university.degree,5.0,0
392,50,35-49,management,married,high.school,4.0,0
393,35,25-34,admin.,married,university.degree,5.0,0
394,42,35-49,admin.,married,high.school,4.0,0
395,45,35-49,admin.,married,basic.9y,3.0,0
396,36,35-49,technician,married,professional.course,6.0,0
397,56,50-64,services,married,high.school,4.0,0
398,29,25-34,blue-collar,divorced,basic.4y,1.0,0
399,41,35-49,self-employed,married,university.degree,5.0,0
400,42,35-49,blue-collar,married,basic.9y,3.0,0
401,52,50-64,services,single,high.school,4.0,0
402,48,35-49,services,married,high.school,4.0,0
403,31,25-34,blue-collar,married,high.school,4.0,1
404,43,35-49,unemployed,married,university.degree,5.0,0
405,36,35-49,blue-collar,married,basic.4y,1.0,0
406,42,35-49,entrepreneur,married,university.degree,5.0,0
407,52,50-64,services,divorced,basic.6y,2.0,0
408,39,35-49,admin.,married,high.school,4.0,0
409,36,35-49,services,married,high.school,4.0,0
410,42,35-49,blue-collar,married,basic.9y,3.0,0
411,41,35-49,admin.,married,high.school,4.0,0
412,55,50-64,technician,married,basic.4y,1.0,0
413,30,25-34,blue-collar,married,basic.9y,3.0,0
414,57,50-64,retired,,basic.4y,1.0,0
415,45,35-49,entrepreneur,married,basic.4y,1.0,0
416,51,50-64,blue-collar,married,basic.4y,1.0,0
417,39,35-49,self-employed,single,basic.9y,3.0,0
418,47,35-49,admin.,married,high.school,4.0,0
419,27,25-34,services,married,high.school,4.0,0
420,34,25-34,technician,single,university.degree,5.0,0
421,57,50-64,blue-collar,married,basic.4y,1.0,0
422,43,35-49,entrepreneur,married,basic.4y,1.0,0
423,49,35-49,blue-collar,married,basic.4y,1.0,0
424,39,35-49,management,married,university.degree,5.0,0
425,38,35-49,blue-collar,married,basic.4y,1.0,0
426,49,35-49,blue-collar,married,basic.9y,3.0,0
427,58,50-64,management,married,basic.6y,2.0,0
428,43,35-49,technician,married,professional.course,6.0,0
429,50,35-49,,married,,,0
430,31,25-34,services,married,high.school,4.0,0
431,43,35-49,self-employed,divorced,university.degree,5.0,0
432,43,35-49,self-employed,married,basic.9y,3.0,0
433,30,25-34,self-employed,single,university.degree,5.0,0
434,27,25-34,services,single,professional.course,6.0,0
435,51,50-64,services,married,,,0
436,37,35-49,technician,married,professional.course,6.0,0
437,46,35-49,housemaid,married,basic.9y,3.0,0
438,35,25-34,blue-collar,married,professional.course,6.0,0
439,47,35-49,admin.,divorced,university.degree,5.0,0
440,46,35-49,management,married,,,0
441,40,35-49,technician,married,professional.course,6.0,0
442,26,25-34,housemaid,married,university.degree,5.0,0
443,32,25-34,blue-collar,divorced,basic.9y,3.0,0
444,45,35-49,management,married,university.degree,5.0,0
445,34,25-34,admin.,married,basic.9y,3.0,1
446,47,35-49,blue-collar,married,,,0
447,42,35-49,technician,married,professional.course,6.0,0
448,57,50-64,technician,married,basic.4y,1.0,0
449,57,50-64,technician,married,basic.4y,1.0,0
450,38,35-49,blue-collar,married,basic.4y,1.0,0
451,57,50-64,technician,married,basic.4y,1.0,0
452,28,25-34,student,single,basic.9y,3.0,0
453,60,50-64,management,married,university.degree,5.0,0
454,48,35-49,admin.,married,university.degree,5.0,0
455,47,35-49,technician,married,professional.course,6.0,0
456,40,35-49,admin.,married,high.school,4.0,0
457,51,50-64,management,married,professional.course,6.0,0
458,48,35-49,unemployed,single,basic.4y,1.0,0
459,54,50-64,housemaid,married,basic.4y,1.0,0
460,40,35-49,blue-collar,married,basic.6y,2.0,0
461,44,35-49,admin.,single,basic.9y,3.0,0
462,42,35-49,technician,divorced,high.school,4.0,0
463,52,50-64,self-employed,married,university.degree,5.0,0
464,31,25-34,blue-collar,single,basic.9y,3.0,0
465,32,25-34,services,married,high.school,4.0,1
466,44,35-49,admin.,married,high.school,4.0,0
467,39,35-49,management,married,basic.6y,2.0,0
468,57,50-64,management,married,professional.course,6.0,0
469,52,50-64,admin.,married,basic.4y,1.0,0
470,42,35-49,management,married,university.degree,5.0,0
471,42,35-49,technician,single,professional.course,6.0,0
472,43,35-49,management,married,professional.course,6.0,0
473,31,25-34,admin.,divorced,high.school,4.0,1
474,29,25-34,admin.,married,university.degree,5.0,0
475,57,50-64,blue-collar,divorced,basic.4y,1.0,0
476,44,35-49,blue-collar,married,basic.9y,3.0,0
477,59,50-64,,married,,,0
478,39,35-49,blue-collar,married,basic.4y,1.0,0
479,57,50-64,retired,married,university.degree,5.0,0
480,41,35-49,management,married,,,0
481,37,35-49,technician,single,high.school,4.0,0
482,38,35-49,services,married,high.school,4.0,0
483,42,35-49,retired,married,basic.4y,1.0,0
484,49,35-49,,married,,,0
485,54,50-64,management,married,basic.6y,2.0,0
486,36,35-49,admin.,married,university.degree,5.0,0
487,32,25-34,admin.,single,university.degree,5.0,0
488,35,25-34,technician,married,professional.course,6.0,0
489,45,35-49,housemaid,married,professional.course,6.0,0
490,56,50-64,technician,married,,,0
491,34,25-34,technician,married,university.degree,5.0,0
492,41,35-49,unemployed,married,basic.9y,3.0,0
493,41,35-49,services,married,basic.9y,3.0,0
494,36,35-49,blue-collar,married,basic.9y,3.0,0
495,32,25-34,admin.,single,university.degree,5.0,1
496,31,25-34,services,married,high.school,4.0,0
497,38,35-49,technician,married,professional.course,6.0,0
498,35,25-34,admin.,divorced,university.degree,5.0,0
499,53,50-64,admin.,married,professional.course,6.0,0
500,51,50-64,admin.,married,basic.6y,2.0,0
501,56,50-64,entrepreneur,married,university.degree,5.0,0
502,33,25-34,admin.,married,basic.9y,3.0,1
503,33,25-34,admin.,married,basic.9y,3.0,0
504,51,50-64,services,divorced,high.school,4.0,0
505,39,35-49,services,married,high.school,4.0,0
506,45,35-49,entrepreneur,married,university.degree,5.0,0
507,40,35-49,technician,single,university.degree,5.0,0
508,60,50-64,,single,,,0
509,33,25-34,technician,married,university.degree,5.0,1
510,47,35-49,blue-collar,married,high.school,4.0,0
511,48,35-49,blue-collar,married,basic.4y,1.0,0
512,43,35-49,entrepreneur,married,high.school,4.0,0
513,37,35-49,management,married,university.degree,5.0,0
514,50,35-49,services,married,basic.9y,3.0,0
515,59,50-64,entrepreneur,married,high.school,4.0,0
516,32,25-34,technician,married,,,0
517,42,35-49,housemaid,single,basic.4y,1.0,0
518,52,50-64,blue-collar,married,basic.4y,1.0,0
519,42,35-49,blue-collar,married,,,0
520,42,35-49,admin.,married,,,0
521,40,35-49,management,married,basic.9y,3.0,0
522,38,35-49,blue-collar,married,basic.9y,3.0,0
523,39,35-49,blue-collar,married,basic.6y,2.0,0
524,39,35-49,blue-collar,married,basic.6y,2.0,0
525,38,35-49,admin.,married,high.school,4.0,0
526,47,35-49,admin.,single,,,0
527,30,25-34,services,single,high.school,4.0,1
528,38,35-49,admin.,divorced,high.school,4.0,0
529,39,35-49,technician,divorced,university.degree,5.0,0
530,44,35-49,admin.,married,high.school,4.0,0
531,36,35-49,admin.,married,high.school,4.0,0
532,41,35-49,services,married,high.school,4.0,0
533,41,35-49,blue-collar,married,basic.6y,2.0,0
534,35,25-34,blue-collar,married,basic.9y,3.0,0
535,41,35-49,technician,married,high.school,4.0,0
536,36,35-49,services,married,high.school,4.0,0
537,35,25-34,admin.,single,high.school,4.0,0
538,33,25-34,blue-collar,single,basic.4y,1.0,1
539,38,35-49,admin.,single,basic.6y,2.0,0
540,33,25-34,self-employed,married,university.degree,5.0,0
541,55,50-64,self-employed,married,,,0
542,36,35-49,blue-collar,single,basic.9y,3.0,0
543,57,50-64,technician,married,professional.course,6.0,0
544,32,25-34,entrepreneur,single,university.degree,5.0,0
545,30,25-34,self-employed,single,high.school,4.0,1
546,43,35-49,admin.,married,professional.course,6.0,0
547,46,35-49,admin.,married,university.degree,5.0,0
548,35,25-34,admin.,divorced,high.school,4.0,0
549,34,25-34,admin.,single,university.degree,5.0,1
550,50,35-49,blue-collar,married,basic.4y,1.0,0
551,39,35-49,admin.,single,university.degree,5.0,0
552,39,35-49,blue-collar,married,basic.9y,3.0,0
553,42,35-49,entrepreneur,married,basic.6y,2.0,0
554,57,50-64,retired,married,university.degree,5.0,0
555,45,35-49,blue-collar,married,basic.4y,1.0,0
556,40,35-49,technician,married,basic.4y,1.0,0
557,42,35-49,blue-collar,married,high.school,4.0,0
558,40,35-49,technician,married,basic.4y,1.0,0
559,38,35-49,blue-collar,single,basic.4y,1.0,0
560,39,35-49,blue-collar,married,basic.6y,2.0,0
561,41,35-49,blue-collar,married,basic.4y,1.0,0
562,39,35-49,blue-collar,married,basic.6y,2.0,0
563,41,35-49,blue-collar,married,basic.4y,1.0,0
564,45,35-49,admin.,married,university.degree,5.0,0
565,35,25-34,admin.,divorced,university.degree,5.0,0
566,35,25-34,admin.,married,basic.6y,2.0,0
