id,housing,loan,default
284,yes,no,no
285,yes,no,no
286,no,no,no
287,yes,no,no
288,yes,yes,no
289,yes,no,
290,no,no,no
291,yes,no,no
292,yes,yes,no
293,no,yes,
294,yes,no,no
295,yes,no,no
296,no,no,no
297,no,yes,no
298,yes,no,no
299,no,no,no
300,no,no,
301,no,no,
302,no,yes,
303,no,no,
304,yes,no,no
305,yes,no,no
306,yes,no,
307,no,no,
308,yes,yes,no
309,yes,no,no
310,yes,no,no
311,yes,no,no
312,no,no,no
313,no,no,no
314,yes,no,
315,yes,no,
316,no,no,
317,no,no,no
318,no,no,no
319,no,no,no
320,yes,no,no
321,yes,no,no
322,yes,yes,no
323,no,no,no
324,no,no,
325,yes,yes,no
326,no,no,no
327,yes,no,no
328,no,no,no
329,no,no,
330,no,no,no
331,yes,no,no
332,yes,no,no
333,yes,no,no
334,no,yes,no
335,yes,no,
336,yes,no,no
337,yes,no,
338,yes,yes,no
339,yes,no,
340,no,no,
341,yes,no,
342,yes,no,no
343,no,no,no
344,yes,no,
345,yes,no,no
346,yes,no,no
347,no,no,no
348,yes,no,
349,yes,no,no
350,no,no,no
351,no,no,
352,no,no,no
353,no,no,no
354,yes,no,no
355,yes,no,no
356,no,no,no
357,no,no,no
358,no,no,no
359,no,no,no
360,yes,no,no
361,no,no,
362,yes,no,no
363,yes,no,no
364,yes,no,
365,yes,no,no
366,no,no,no
367,yes,no,no
368,no,no,no
369,yes,no,
370,no,no,no
371,no,no,no
372,no,yes,no
373,yes,no,no
374,yes,no,no
375,no,no,no
376,no,no,no
377,yes,no,no
378,no,no,no
379,no,no,no
380,yes,yes,no
381,no,no,no
382,yes,no,no
383,no,no,no
384,no,no,
385,yes,yes,
386,,,
387,no,no,no
388,yes,yes,
389,yes,yes,
390,yes,no,no
391,no,no,
392,no,no,
393,no,no,no
394,no,no,no
395,no,no,no
396,no,no,no
397,no,no,
398,no,no,no
399,yes,yes,no
400,no,no,
401,no,no,no
402,,,
403,yes,no,
404,yes,no,
405,no,no,
406,yes,no,no
407,no,no,no
408,yes,no,no
409,no,yes,no
410,yes,no,
411,no,no,no
412,no,yes,no
413,no,no,no
414,no,no,no
415,yes,no,
416,yes,yes,
417,yes,yes,
418,no,no,
419,yes,no,no
420,yes,no,no
421,yes,no,
422,no,no,no
423,no,no,
424,no,no,
425,yes,no,
426,no,no,no
427,no,no,no
428,yes,no,no
429,yes,no,
430,no,no,
431,no,no,no
432,no,no,
433,yes,no,no
434,yes,yes,no
435,no,no,
436,yes,no,no
437,yes,no,no
438,no,no,no
439,no,no,no
440,yes,no,no
441,no,yes,
442,no,no,no
443,no,no,
444,yes,no,no
445,no,no,no
446,no,no,
447,no,no,no
448,no,yes,
449,no,no,
450,no,yes,no
451,no,no,
452,yes,no,
453,no,no,no
454,yes,no,no
455,yes,no,no
456,no,no,no
457,yes,no,
458,yes,no,no
459,no,no,no
460,no,yes,no
461,no,no,
462,no,no,no
463,yes,no,no
464,yes,no,no
465,no,no,no
466,yes,yes,no
467,no,no,
468,yes,no,
469,yes,no,no
470,no,no,no
471,,,
472,yes,no,no
473,no,no,no
474,yes,no,
475,no,no,no
476,no,no,
477,no,no,
478,no,no,
479,no,no,no
480,no,no,
481,no,yes,
482,yes,no,no
483,no,no,no
484,yes,no,
485,yes,yes,
486,,,no
487,no,no,
488,yes,no,no
489,no,no,
490,yes,no,no
491,yes,no,no
492,no,no,
493,no,no,no
494,no,no,
495,,,
496,,,
497,yes,no,no
498,yes,no,
499,yes,no,no
500,yes,no,
501,no,no,
502,,,no
503,no,no,no
504,yes,no,
505,yes,no,
506,no,no,no
507,no,no,no
508,yes,no,
509,yes,no,no
510,yes,no,
511,no,no,no
512,no,no,no
513,yes,no,no
514,yes,yes,no
515,yes,no,no
516,yes,no,
517,yes,no,
518,no,no,no
519,no,no,
520,no,no,no
521,,,
522,no,no,no
523,yes,no,no
524,no,no,no
525,no,no,no
526,yes,no,
527,no,no,no
528,yes,yes,no
529,no,no,no
530,no,no,no
531,no,no,no
532,yes,yes,
533,no,no,no
534,no,no,no
535,no,no,no
536,no,no,
537,yes,yes,no
538,no,no,
539,no,no,
540,no,no,no
541,no,no,
542,no,no,
543,no,yes,
544,yes,no,no
545,yes,no,no
546,yes,yes,no
547,no,no,no
548,no,yes,no
549,yes,yes,no
550,,,
551,no,no,no
552,no,no,
553,no,no,no
554,yes,no,no
555,no,no,
556,no,yes,no
557,no,yes,no
558,no,no,no
559,no,no,
560,yes,yes,
561,no,no,no
562,yes,no,
563,yes,yes,no
564,no,no,
565,,,no
566,yes,no,no
567,no,no,
568,no,no,no
569,no,no,no
570,,,
571,,,no
572,,,no
573,yes,no,
574,yes,yes,
575,no,no,no
576,no,no,no
577,no,no,no
578,no,yes,
579,no,no,no
580,no,no,no
581,no,no,
582,no,no,no
583,no,no,
584,no,yes,no
585,no,no,
586,no,yes,no
587,no,no,
588,yes,no,no
589,no,no,
590,no,no,
591,no,no,no
592,yes,no,no
593,no,no,no
594,,,no
595,no,no,no
596,yes,no,no
597,no,no,no
598,yes,no,no
599,yes,no,
600,no,no,no
601,yes,yes,no
602,no,no,no
603,no,no,no
604,no,no,
605,yes,no,no
606,no,no,no
607,no,no,no
608,no,yes,
609,no,no,
610,no,no,no
611,yes,no,no
612,no,no,no
613,no,no,no
614,yes,no,no
615,yes,no,no
616,yes,no,no
617,no,no,
618,no,no,no
619,yes,no,no
620,yes,no,no
621,yes,yes,no
622,no,no,no
623,no,no,no
624,no,no,
625,yes,yes,no
626,yes,no,no
627,no,no,no
628,no,no,no
629,yes,no,
630,no,no,no
631,no,no,no
632,no,no,no
633,no,no,no
634,no,no,no
635,yes,no,
636,yes,no,no
637,yes,yes,no
638,no,no,no
639,yes,no,
640,yes,no,no
641,,,
642,yes,no,no
643,yes,no,no
644,yes,no,
645,no,no,no
646,yes,no,no
647,no,no,no
648,no,no,no
649,yes,no,
650,no,no,no
651,yes,no,no
652,no,no,no
653,yes,no,
654,no,yes,no
655,yes,yes,
656,no,no,no
657,no,no,no
658,no,yes,
659,yes,no,
660,no,no,no
661,no,no,
662,yes,no,no
663,no,yes,no
664,,,no
665,yes,no,
666,no,yes,no
667,yes,no,no
668,no,no,no
669,yes,no,no
670,no,no,no
671,no,no,
672,yes,no,
673,yes,no,no
674,no,yes,no
675,yes,no,no
676,no,yes,no
677,no,no,
678,yes,no,no
679,no,no,no
680,yes,no,
681,no,no,
682,yes,no,
683,no,no,no
684,yes,no,
685,no,no,no
686,yes,no,no
687,yes,no,
688,yes,no,no
689,yes,no,
690,yes,no,no
691,yes,no,no
692,no,no,no
693,yes,no,no
694,yes,no,
695,yes,no,
696,no,no,
697,no,no,
698,no,no,no
699,no,no,no
700,no,no,
701,yes,no,no
702,yes,no,
703,yes,no,no
704,no,no,no
705,yes,no,no
706,yes,yes,no
707,no,no,no
708,yes,yes,
709,yes,no,
710,yes,no,
711,yes,no,no
712,no,no,
713,no,no,
714,no,no,no
715,no,no,no
716,no,no,no
717,no,no,no
718,no,no,no
719,no,no,no
720,yes,no,no
721,yes,no,no
722,no,no,no
723,yes,no,no
724,no,no,no
725,yes,no,no
726,no,no,no
727,no,no,no
728,yes,no,no
729,yes,no,
730,no,no,no
731,yes,yes,
732,no,no,
733,yes,yes,no
734,yes,no,
735,no,no,
736,yes,no,
737,no,no,no
738,no,no,no
739,no,no,no
740,yes,no,
741,no,no,no
742,yes,yes,no
743,yes,no,
744,yes,yes,no
745,no,yes,no
746,yes,no,
747,yes,yes,
748,yes,no,no
749,no,no,no
750,yes,no,no
751,no,yes,no
752,yes,no,no
753,no,no,no
754,yes,no,no
755,no,no,no
756,yes,no,
757,yes,no,no
758,no,no,
759,yes,no,
760,yes,no,
761,no,no,no
762,no,no,no
763,yes,no,no
764,no,no,
765,no,no,no
766,yes,no,no
767,no,no,no
768,no,no,
769,,,
770,no,no,
771,,,
772,yes,no,no
773,yes,no,
774,no,no,no
775,no,no,no
776,yes,no,no
777,no,yes,
778,,,no
779,yes,no,no
780,no,no,
781,yes,no,no
782,yes,no,
783,no,no,no
784,,,no
785,yes,no,no
786,no,no,no
787,yes,no,no
788,no,yes,
789,yes,no,no
790,no,no,
791,,,
792,yes,yes,
793,no,no,no
794,no,no,no
795,no,no,
796,yes,no,no
797,no,no,no
798,yes,no,no
799,,,no
800,yes,yes,
801,yes,no,
802,no,no,no
803,no,no,no
804,no,no,no
805,no,no,no
806,no,no,no
807,yes,no,no
808,yes,no,
809,no,no,no
810,yes,yes,no
811,no,no,
812,no,no,no
813,yes,no,no
814,no,no,no
815,,,
816,no,no,no
817,yes,no,
818,yes,no,no
819,yes,no,
820,yes,no,no
821,no,no,no
822,no,no,
823,no,no,no
824,yes,no,no
825,no,yes,no
826,yes,no,no
827,no,no,no
828,yes,no,no
829,yes,yes,
830,yes,no,no
831,yes,no,no
832,no,no,no
833,yes,yes,
834,yes,no,no
835,yes,no,
836,no,no,
837,yes,no,
838,yes,no,
839,yes,no,no
840,yes,no,no
841,yes,no,no
842,no,no,no
843,yes,yes,no
844,yes,no,
845,yes,no,
846,yes,yes,
847,no,no,no
848,yes,no,no
849,yes,no,no
850,yes,no,no
851,yes,no,
852,no,no,
853,yes,no,no
854,yes,no,
855,yes,no,
856,no,no,no
857,yes,no,no
858,yes,no,
859,no,no,no
860,yes,no,no
861,yes,no,no
862,no,no,no
863,yes,no,
864,yes,no,no
865,yes,yes,no
866,yes,no,no
867,yes,no,no
868,yes,no,no
869,no,no,
870,yes,no,no
871,yes,no,
872,yes,no,no
873,yes,no,no
874,yes,no,
875,no,no,no
876,yes,yes,no
877,yes,no,no
878,yes,no,no
879,yes,no,
880,yes,no,
881,yes,no,no
882,yes,no,no
883,yes,no,no
884,yes,no,
885,yes,no,no
886,no,no,
887,yes,no,no
888,no,no,no
889,no,no,no
890,no,no,no
891,yes,no,
892,no,no,no
893,no,no,no
894,yes,no,no
895,no,no,no
896,yes,no,no
897,yes,no,no
898,no,no,no
899,no,no,no
900,yes,no,no
901,yes,no,no
902,no,no,
903,no,no,
904,,,no
905,no,yes,
906,no,no,no
907,no,no,no
908,no,no,
909,no,no,no
910,no,yes,
911,yes,no,
912,no,no,no
913,no,no,no
914,no,no,no
915,no,yes,no
916,yes,no,
917,yes,no,no
918,yes,no,no
919,yes,no,
920,yes,no,no
921,yes,no,no
922,no,no,
923,yes,no,
924,yes,no,no
925,yes,no,no
926,yes,no,no
927,yes,no,no
928,yes,no,no
929,yes,yes,no
930,yes,no,
931,yes,no,
932,yes,no,no
933,yes,no,
934,yes,no,no
935,no,no,no
936,yes,yes,
937,no,no,
938,yes,no,no
939,yes,no,
940,yes,no,
941,yes,no,
942,,,
943,no,no,
944,no,no,
945,no,no,
946,no,no,
947,no,no,no
948,yes,no,
949,yes,no,no
950,yes,no,no
951,yes,yes,no
952,yes,yes,no
953,no,yes,no
954,no,no,no
955,no,no,
956,no,no,no
957,no,no,no
958,yes,no,
959,no,no,
960,yes,no,no
961,no,no,no
962,no,no,
963,no,yes,no
964,no,no,
965,yes,no,no
966,no,no,no
967,yes,no,no
968,yes,no,no
969,no,no,no
970,no,no,no
971,yes,no,no
972,yes,no,no
973,yes,no,no
974,yes,no,no
975,yes,no,no
976,,,no
977,yes,no,
978,no,no,no
979,no,no,no
980,yes,no,no
981,no,no,no
982,yes,yes,no
983,,,no
984,no,no,no
985,yes,no,no
986,no,no,
987,yes,no,no
988,no,no,
989,no,no,no
990,no,no,no
991,yes,no,
992,,,no
993,no,no,no
994,no,no,
995,no,no,no
996,yes,no,no
997,yes,yes,no
998,yes,no,no
999,yes,no,no
1000,no,no,no
1001,no,no,no
1002,no,no,no
1003,no,no,no
1004,yes,no,no
1005,,,no
1006,no,no,
1007,no,no,
1008,yes,no,
1009,yes,no,no
1010,yes,no,no
1011,no,no,no
1012,no,no,no
1013,no,no,no
1014,no,no,no
1015,no,no,no
1016,yes,no,no
1017,no,no,
1018,yes,no,
1019,no,no,no
1020,yes,no,no
1021,no,no,
1022,no,no,
1023,no,no,no
1024,no,no,no
1025,,,
1026,yes,no,
1027,no,no,
1028,yes,no,no
1029,no,yes,no
1030,yes,no,no
1031,no,no,
1032,no,yes,no
1033,yes,no,no
1034,,,
1035,no,no,no
1036,yes,no,
1037,no,no,
1038,yes,no,no
1039,yes,no,no
1040,no,yes,
1041,no,no,no
1042,no,no,no
1043,yes,no,no
1044,no,no,
1045,no,no,
1046,no,no,
1047,yes,no,
1048,yes,no,no
1049,no,no,no
1050,,,
1051,,,no
1052,no,no,
1053,yes,no,no
1054,yes,no,no
1055,no,no,no
1056,yes,no,
1057,no,no,no
1058,yes,no,no
1059,no,no,no
1060,no,no,no
1061,yes,no,
1062,no,no,
1063,,,
1064,yes,no,no
1065,,,no
1066,no,no,no
1067,yes,no,no
1068,yes,no,
1069,yes,yes,no
1070,no,no,no
1071,no,no,
1072,yes,no,no
1073,no,no,no
1074,no,no,no
1075,no,no,no
1076,no,no,no
1077,no,no,no
1078,yes,no,no
1079,no,no,
1080,yes,no,no
1081,yes,no,no
1082,no,yes,
1083,yes,no,no
1084,yes,no,no
1085,yes,no,no
1086,yes,yes,no
1087,yes,no,
1088,yes,no,no
1089,yes,no,no
1090,no,no,
1091,yes,no,no
1092,no,no,
1093,no,no,no
1094,yes,no,
1095,yes,no,no
1096,no,no,
1097,yes,no,no
1098,yes,no,
1099,no,no,no
1100,yes,no,no
1101,no,no,no
1102,no,yes,
1103,yes,no,no
1104,yes,yes,
1105,yes,no,no
1106,yes,no,no
1107,yes,no,no
1108,yes,yes,no
1109,no,no,no
1110,no,no,no
1111,,,no
1112,yes,no,no
1113,no,no,no
1114,no,no,no
1115,no,no,no
1116,yes,no,no
1117,yes,yes,no
1118,no,no,no
1119,yes,no,
1120,no,no,no
1121,no,no,no
1122,yes,no,no
1123,no,no,no
1124,no,no,
1125,,,
1126,no,no,
1127,yes,no,no
1128,no,no,no
1129,no,no,
1130,yes,no,
1131,yes,no,no
1132,no,no,
1133,no,no,
1134,no,no,
1135,yes,no,no
1136,yes,no,no
1137,yes,no,no
1138,no,no,no
1139,yes,no,no
1140,yes,yes,no
1141,no,no,
1142,no,no,
1143,no,no,no
1144,yes,no,no
1145,no,no,no
1146,yes,no,no
1147,yes,no,no
1148,yes,no,no
1149,no,no,
1150,no,no,no
1151,no,no,
1152,yes,yes,no
1153,yes,no,no
1154,no,no,no
1155,no,no,no
1156,no,no,no
1157,no,yes,no
1158,no,no,no
1159,yes,no,no
1160,no,no,
1161,no,no,no
1162,yes,no,
1163,yes,no,no
1164,no,no,no
1165,no,no,no
1166,no,no,no
1167,yes,no,no
1168,no,no,
1169,no,no,no
1170,yes,no,no
1171,yes,no,no
1172,no,yes,no
1173,no,yes,
1174,no,no,no
1175,no,no,no
1176,no,yes,no
1177,no,no,
1178,no,no,no
1179,no,no,
1180,no,no,
1181,no,no,
1182,no,no,no
1183,no,yes,no
1184,yes,yes,no
1185,no,no,no
1186,yes,no,no
1187,no,no,no
1188,no,yes,no
1189,no,no,no
1190,yes,no,no
1191,no,no,
1192,yes,yes,no
1193,no,no,
1194,yes,no,
1195,no,no,
1196,yes,no,no
1197,yes,no,no
1198,yes,yes,
1199,yes,no,no
1200,yes,no,no
1201,no,no,no
1202,no,no,no
1203,yes,no,no
1204,no,no,
1205,no,no,
1206,yes,yes,no
1207,no,no,
1208,yes,no,no
1209,no,no,no
1210,no,no,
1211,yes,no,no
1212,no,no,no
1213,no,no,
1214,yes,yes,no
1215,yes,yes,no
1216,yes,yes,no
1217,yes,no,no
1218,yes,no,no
1219,yes,no,
1220,no,no,
1221,yes,no,no
1222,no,no,
1223,no,no,no
1224,no,no,
1225,yes,no,no
1226,no,no,
1227,no,no,no
1228,no,no,no
1229,no,no,no
1230,no,no,
1231,no,no,no
1232,no,no,no
1233,no,yes,
1234,no,no,no
1235,no,no,no
1236,no,yes,
1237,no,no,
1238,yes,no,no
1239,yes,no,
1240,no,no,no
1241,no,no,no
1242,no,no,no
1243,no,yes,
1244,no,no,
1245,no,yes,no
1246,no,no,
1247,no,no,no
1248,no,no,no
1249,no,no,no
1250,yes,no,
1251,yes,no,no
1252,no,no,
1253,yes,no,no
1254,yes,yes,no
1255,no,yes,no
1256,yes,yes,
1257,yes,no,no
1258,yes,yes,no
1259,yes,no,
1260,yes,no,
1261,yes,no,
1262,no,no,no
1263,yes,no,
1264,yes,yes,no
1265,yes,no,no
1266,no,no,no
1267,no,no,no
1268,no,no,no
1269,no,no,no
1270,no,no,no
1271,yes,yes,no
1272,no,no,no
1273,no,no,
1274,yes,no,
1275,yes,no,no
1276,yes,no,no
1277,yes,no,no
1278,yes,no,no
1279,no,no,no
1280,no,no,no
1281,yes,no,
1282,yes,no,no
1283,no,no,no
1284,no,no,
1285,no,no,no
1286,yes,no,no
1287,yes,no,no
1288,yes,yes,no
1289,yes,no,no
1290,yes,no,no
1291,yes,no,no
1292,no,yes,
1293,no,no,no
1294,no,yes,no
1295,yes,no,no
1296,yes,no,no
1297,yes,no,
1298,no,no,no
1299,no,no,no
1300,yes,no,
1301,yes,no,no
1302,yes,no,no
1303,no,yes,no
1304,no,no,
1305,yes,no,no
1306,no,no,no
1307,yes,no,
1308,no,no,
1309,no,no,no
1310,yes,no,no
1311,yes,no,no
1312,no,no,no
1313,no,no,no
1314,no,no,
1315,yes,no,no
1316,yes,no,
1317,yes,yes,no
1318,no,no,no
1319,yes,no,no
1320,no,no,no
1321,no,yes,no
1322,no,no,
1323,yes,no,
1324,no,no,no
1325,yes,no,no
1326,no,no,no
1327,no,no,no
1328,yes,no,no
1329,no,no,no
1330,yes,no,no
1331,yes,no,no
1332,yes,no,no
1333,yes,no,no
1334,no,no,
1335,yes,no,
1336,no,no,no
1337,no,no,no
1338,yes,yes,no
1339,yes,no,no
1340,yes,no,
1341,no,no,no
1342,yes,yes,no
1343,no,no,no
1344,no,no,no
1345,yes,no,no
1346,yes,no,no
1347,no,no,no
1348,no,no,no
1349,yes,no,no
1350,yes,no,no
1351,no,no,no
1352,no,yes,
1353,no,no,no
1354,no,no,no
1355,yes,no,
1356,yes,no,no
1357,yes,no,no
1358,no,no,no
1359,yes,no,
1360,yes,no,no
1361,yes,no,no
1362,no,no,no
1363,yes,yes,
1364,no,no,no
1365,yes,no,
1366,no,no,no
1367,no,no,no
1368,no,yes,no
1369,yes,yes,no
1370,yes,no,
1371,yes,no,
1372,no,no,no
1373,,,no
1374,no,no,no
1375,no,no,no
1376,yes,no,no
1377,no,no,no
1378,yes,no,no
1379,no,no,no
1380,no,no,
1381,no,no,
1382,no,no,
1383,yes,no,no
1384,no,yes,no
1385,no,yes,
1386,no,no,
1387,no,no,no
1388,yes,no,
1389,no,no,
1390,no,no,
1391,no,yes,
1392,no,no,no
1393,no,no,no
1394,no,no,no
1395,no,no,
1396,no,no,no
1397,no,no,no
1398,no,no,no
1399,no,no,no
1400,no,no,no
1401,no,no,
1402,yes,no,no
1403,no,no,no
1404,no,no,
1405,,,
1406,no,no,no
1407,no,no,
1408,no,no,no
1409,no,no,no
1410,no,no,no
1411,yes,yes,no
1412,yes,yes,no
1413,yes,yes,no
1414,yes,no,no
1415,no,no,no
1416,yes,no,no
1417,no,yes,
1418,yes,no,no
1419,no,yes,no
1420,no,no,no
1421,yes,no,no
1422,yes,yes,
1423,no,no,no
1424,yes,no,no
1425,no,no,no
1426,no,no,no
1427,no,no,no
1428,,,no
1429,no,no,
1430,no,no,no
1431,no,no,
1432,no,yes,no
1433,yes,no,no
1434,yes,no,
1435,no,no,no
1436,no,no,no
1437,no,no,
1438,no,no,no
1439,no,no,
1440,yes,no,no
1441,yes,no,
1442,yes,no,no
1443,yes,no,
1444,yes,yes,no
1445,yes,no,no
1446,no,no,no
1447,yes,yes,
1448,yes,no,
1449,yes,no,no
1450,yes,no,no
1451,no,no,no
1452,yes,no,no
1453,no,no,
1454,no,yes,no
1455,yes,yes,no
1456,no,yes,
1457,no,yes,
1458,yes,no,
1459,no,no,no
1460,no,yes,no
1461,no,yes,no
1462,yes,no,no
1463,yes,no,no
1464,no,no,no
1465,no,yes,
1466,yes,no,no
1467,yes,no,
1468,no,no,no
1469,yes,no,no
1470,yes,no,no
1471,yes,no,no
1472,yes,yes,no
1473,no,no,no
1474,no,no,no
1475,yes,no,no
1476,no,no,no
1477,no,no,no
1478,no,yes,no
1479,yes,no,no
1480,yes,no,no
1481,yes,no,
1482,yes,no,no
1483,no,no,no
1484,yes,no,no
1485,no,no,no
1486,yes,no,no
1487,no,no,no
1488,yes,no,
1489,yes,no,no
1490,yes,no,no
1491,no,no,
1492,yes,no,no
1493,no,no,no
1494,yes,yes,no
1495,yes,yes,no
1496,no,no,no
1497,no,no,
1498,no,no,
1499,no,yes,no
1500,no,no,
1501,yes,yes,no
1502,yes,no,no
1503,no,no,no
1504,no,no,
1505,no,no,
1506,yes,no,no
1507,no,no,no
1508,no,no,
1509,yes,yes,no
1510,no,no,
1511,yes,no,
1512,no,no,
1513,yes,yes,
1514,yes,no,no
1515,no,no,no
1516,yes,no,no
1517,yes,yes,
1518,yes,no,no
1519,no,no,
1520,yes,no,no
1521,yes,no,
1522,yes,no,no
1523,yes,no,no
1524,yes,no,no
1525,no,no,no
1526,yes,yes,no
1527,no,yes,no
1528,no,no,
1529,yes,yes,
1530,yes,no,no
1531,no,yes,no
1532,yes,no,no
1533,no,no,no
1534,no,yes,no
1535,yes,yes,no
1536,yes,no,no
1537,no,yes,no
1538,yes,no,no
1539,no,no,no
1540,yes,no,no
1541,yes,yes,no
1542,no,no,
1543,no,no,no
1544,yes,no,no
1545,no,no,no
1546,yes,no,no
1547,no,no,no
1548,no,no,no
1549,no,no,no
1550,yes,no,no
1551,yes,no,no
1552,no,no,
1553,no,no,no
1554,yes,no,
1555,yes,no,no
1556,yes,no,no
1557,yes,no,no
1558,yes,yes,no
1559,no,no,no
1560,no,no,no
1561,yes,no,
1562,no,no,
1563,no,no,no
1564,no,no,no
1565,yes,no,
1566,yes,no,no
1567,yes,no,no
1568,yes,no,no
1569,no,no,no
1570,no,no,no
1571,no,no,no
1572,yes,no,no
1573,no,no,no
1574,yes,no,no
1575,yes,no,no
1576,yes,no,no
1577,yes,no,no
1578,no,no,no
1579,yes,no,no
1580,no,no,
1581,no,no,no
1582,yes,no,no
1583,no,yes,
1584,no,no,no
1585,yes,no,
1586,no,no,
1587,no,no,
1588,yes,no,
1589,no,no,no
1590,,,
1591,yes,no,
1592,no,no,no
1593,no,no,no
1594,yes,no,no
1595,no,no,no
1596,yes,no,no
1597,,,
1598,,,no
1599,,,no
1600,yes,yes,no
1601,no,no,no
1602,yes,no,no
1603,yes,no,no
1604,yes,no,no
1605,no,no,no
1606,no,no,no
1607,no,no,no
1608,no,yes,no
1609,no,no,no
1610,yes,no,no
1611,no,no,no
1612,no,no,
1613,yes,yes,
1614,no,no,
1615,no,no,no
1616,yes,no,no
1617,yes,no,no
1618,no,no,no
1619,yes,no,no
1620,yes,no,no
1621,yes,yes,no
1622,yes,no,no
1623,no,yes,no
1624,no,no,no
1625,no,no,no
